scorer,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick
bodyparts,R,R,U,U,MH,MH,2K,2K,3K,3K,4K,4K,5K,5K,1L,1L,2L,2L,3L,3L,4L,4L,5L,5L,1M,1M,2M,2M,3M,3M,4M,4M,5M,5M,1U,1U,2U,2U,3U,3U,4U,4U,5U,5U,S,S,MP,MP,E,E
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/ClosedHand_Extended/img002.png,249.70989820989828,159.2191997191997,,,,,265.8839943839945,223.91558441558442,273.2971217971219,242.7853632853633,274.6449631449632,261.65514215514213,274.6449631449632,278.503159003159,209.27465777465787,165.2844857844858,191.7527202527203,244.13320463320463,180.29606879606885,270.41611091611094,190.40487890487898,297.3729378729379,213.3181818181819,316.24271674271677,173.55686205686212,179.43681993681992,,,,,,,,,160.07844857844864,221.8938223938224,,,,,,,,,,,,,515.2346437346438,131.58845208845207
labeled-data/ClosedHand_Extended/img009.png,247.01421551421558,161.24096174096172,,,,,266.5579150579151,215.15461565461567,270.60143910143915,240.0896805896806,271.2753597753598,258.2855387855388,273.2971217971219,284.56844506844504,207.9268164268165,164.61056511056512,181.64391014391023,242.7853632853633,180.29606879606885,267.72042822042823,189.0570375570376,294.6772551772552,211.29641979641988,318.2644787644788,176.25254475254482,177.4150579150579,,,,,,,,,161.42628992628997,223.24166374166373,,,,,,,,,,,,,512.5389610389611,127.54492804492804
labeled-data/ClosedHand_Extended/img028.png,249.70989820989828,163.93664443664443,,,,,263.1883116883117,221.2199017199017,273.2971217971219,242.1114426114426,273.2971217971219,265.6986661986662,271.2753597753598,289.95981045981046,202.53545103545113,164.61056511056512,185.01351351351357,246.82888732888733,178.27430677430684,271.0900315900316,189.7309582309583,300.06862056862053,211.97034047034052,320.2862407862408,170.8611793611794,182.13250263250262,,,,,,,,,164.12197262197267,224.5895050895051,,,,,,,,,,,,,516.5824850824852,138.3276588276588
labeled-data/ClosedHand_Extended/img032.png,249.70989820989828,161.9148824148824,,,,,265.8839943839945,219.8720603720604,268.57967707967714,243.45928395928394,273.2971217971219,263.67690417690415,270.60143910143915,289.95981045981046,206.57897507897516,163.26272376272374,187.0352755352756,238.74183924183922,178.27430677430684,269.06826956826956,190.40487890487898,300.7425412425412,210.6224991224992,320.96016146016143,173.55686205686212,180.1107406107406,,,,,,,,,162.77413127413135,223.24166374166373,,,,,,,,,,,,,512.5389610389611,140.34942084942082
labeled-data/ClosedHand_Extended/img045.png,246.3402948402949,161.9148824148824,,,,,265.21007371007374,221.8938223938224,276.6667251667252,253.56809406809407,270.60143910143915,280.524921024921,264.5361530361531,297.3729378729379,209.27465777465787,163.26272376272374,186.36135486135495,242.1114426114426,177.60038610038615,267.72042822042823,191.07879957879967,298.7207792207792,206.57897507897516,317.5905580905581,178.27430677430684,176.74113724113727,,,,,,,,,159.40452790452795,223.24166374166373,,,,,,,,,,,,,513.2128817128818,141.6972621972622
labeled-data/ClosedHand_Extended/img056.png,238.25324675324683,157.87135837135838,,,,,242.97069147069155,203.6979641979642,247.68813618813627,249.52457002457004,249.70989820989828,271.0900315900316,242.97069147069155,289.95981045981046,190.40487890487898,157.87135837135838,157.38276588276594,227.28518778518776,149.96963846963857,256.2637767637768,168.16549666549676,283.8945243945244,189.7309582309583,306.13390663390663,151.3174798174799,168.65408915408915,,,,,,,,,137.83906633906642,206.39364689364692,,,,,,,,,,,,,511.8650403650405,133.6102141102141
labeled-data/ClosedHand_Extended/img060.png,236.2314847314848,153.82783432783435,,,,,231.5140400140401,201.6762021762022,238.25324675324683,239.4157599157599,238.92716742716752,265.0247455247455,237.57932607932614,279.8510003510003,185.68743418743426,153.82783432783435,144.57827307827316,217.17637767637768,139.86082836082844,246.15496665496664,156.0349245349246,272.43787293787295,180.29606879606885,298.7207792207792,151.3174798174799,159.2191997191997,,,,,,,,,122.33889083889093,196.95875745875747,,,,,,,,,,,,,517.9303264303265,135.6319761319761
labeled-data/ClosedHand_Extended/img066.png,218.70954720954725,149.78431028431027,253.75342225342231,212.45893295893296,,,202.53545103545113,193.58915408915408,210.6224991224992,229.98087048087046,213.99210249210253,251.54633204633205,217.36170586170593,272.43787293787295,179.62214812214822,147.08862758862756,123.01281151281157,206.39364689364692,119.64320814320823,237.3939978939979,139.18690768690774,265.0247455247455,158.05668655668663,287.93804843804844,123.01281151281157,153.15391365391366,,,,,,,,,96.72990522990531,188.87170937170936,,,,,,,,,,,,,519.2781677781678,137.65373815373817
